docid,url,domain,title,passage
FGX1FyE5nZNv,https://sudact.ru/regular/doc/FGX1FyE5nZNv/,sudact.ru,Решение № 2-735/2018 2-735/2018~М-672/2018... :: СудАкт.ру,"При указанных обстоятельствах и руководствуясь требованиями закона о защите прав потребителей истец, желая отказаться от приобретенного товара, направил в адрес ответчика претензию о возврате товара, которая до настоящего времени оставлена без ответа. | право отказаться от исполнения договора. Статья 25 Закона РФ от 07 февраля 1992 года № 2300-1 «О защите прав потребителя» регламентировано право потребителя на обмен товара надлежащего качества."
W33FU0lFLlZJ,https://sudact.ru/regular/doc/W33FU0lFLlZJ/,sudact.ru,Решение № 2-1303/2019 2-1303/2019~М-439/2019... :: СудАкт.ру,"Перечень товаров, не подлежащих обмену по основаниям, указанным в статье 25 Закона о защите прав потребителей, утверждается Правительством Российской Федерации. | Таким образом, все установленные законом необходимые для обмена или возврата товара надлежащего качества условия истцом соблюдены полностью, и продавец был обязан либо обменять товар надлежащего качества при наличии у него аналогичного товара, либо возвратить уплаченные за товар деньги."
JhSL3cL8u4oB,https://sudact.ru/regular/doc/JhSL3cL8u4oB/,sudact.ru,Решение № 2-1137/2018 2-12361/2017 от 20 мая 2018... :: СудАкт.ру,"Пояснил, что в просительной части описка, вместо ИП ФИО1 следует считать ИП ФИО5 Встречные исковые требования не признал в связи с подтверждением качества проданного товара, и необоснованностью требований о его замене. Ответчик (истец по встречному иску) ФИО6 в судебное заседание не явился, надлежаще извещен о слушании дела. Его представитель ФИО4 исковые требования не признала, встречные исковые требования по измененному основанию (ст. 25 Закона о защите прав потребителей) поддержала."
3mGKVaOIJ3g8,https://sudact.ru/regular/doc/3mGKVaOIJ3g8/,sudact.ru,Решение № 2-11025/2019 2-720/2020 от 11 февраля... :: СудАкт.ру,"При таких обстоятельствах, суд считает установленным, что истец на законных основаниях, в соответствии с положениями ст.502 ГК РФ, ст.25 Закона РФ «О защите прав потребителей» заявил об одностороннем отказе от исполнения договора купли-продажи товара надлежащего качества, поскольку указанный товар не подошел его супруге по фасону, и в отсутствии условий произвести обмен товара на необходимый истец правомерно заявил о возврате товара."
a39bcsyWpdHv,https://sudact.ru/regular/doc/a39bcsyWpdHv/,sudact.ru,Решение № 2-323/2020 2-323/2020(2-5119/2019...) :: СудАкт.ру,"В соответствии с п. 32 Постановления Пленума ВС РФ №17 от 28.06.12 «О рассмотрении судами гражданских дел по спорам о защите прав потребителей» при рассмотрении требований потребителей о взыскании неустойки, предусмотренной Законом о защите прав потребителей, необходимо иметь в виду, что: а) неустойка (пеня) в размере, установленном статьей 23 Закона, взыскивается за каждый день просрочки указанных в статьях 20, 21, 22 Закона сроков устранения недостатков товара и замены товара с недостатками..."
urAwlIOo5lgF,https://sudact.ru/regular/doc/urAwlIOo5lgF/,sudact.ru,Решение № 2-1-2/2020 2-1-2/2020(2-1-538/2019...) :: СудАкт.ру,"Из материалов дела следует, что ответчик отказался выполнять требования истца, хотя претензия покупателя ответчиком получена 19.11.2018 г. Ответчиком в нарушение положений пункта 5 статьи 18 Закона Российской Федерации ""О защите прав потребителей"" экспертиза причины проявления недостатка не проведена. Таким образом, ответчиком относимые и допустимые доказательства проявления недостатков товара после передачи его потребителю суду не представлены."
MaqpPxOPwzWF,https://sudact.ru/regular/doc/MaqpPxOPwzWF/,sudact.ru,Решение № 2-1576/2017 2-1576/2017 ~ М-1526/2017... :: СудАкт.ру,"С учетом изложенного, суд полагает, что включение в договор купли-продажи товара положения о подсудности спора по месту нахождения ООО «Автоломбард» г. Нижнекамск ущемляет установленные законом права потребителя. При таких обстоятельствах, оспариваемый пункт 7.4 договора нельзя признать законным. В соответствии со ст. 4 Закона РФ от 07 февраля 1992 года № 2300-1 «О защите прав потребителей» продавец обязан передать потребителю товар (выполнить работу, оказать услугу), качество которого соответствует договору."
GMjXio3dnCrR,https://sudact.ru/regular/doc/GMjXio3dnCrR/,sudact.ru,Решение № 2-614/2020 2-614/2020~М-285/2020... :: СудАкт.ру,"Считает действия ООО «Легион» незаконными, нарушающими законодательство Российской Федерации, а также его права и законные интересы, вследствие чего он вынужден обратиться в суд с исковым заявлением. Поскольку обмен газового баллона производился им исключительно в целях удовлетворения личных бытовых нужд, считает, что между ним и продавцом возникли отношения, на которые распространяется Закон РФ от 07.02.1992 № 2300-1 «О защите прав потребителей»."
85sGjvBZd3lR,https://sudact.ru/regular/doc/85sGjvBZd3lR/,sudact.ru,Решение № 2-889/2020 2-889/2020(2-9370/2019...) :: СудАкт.ру,"Потребителю в момент доставки товара должна быть в письменной форме предоставлена информация о товаре, предусмотренная статьей 10 настоящего Закона, а также предусмотренная пунктом 4 настоящей статьи информация о порядке и сроках возврата товара. Потребитель вправе отказаться от товара в любое время до его передачи, а после передачи товара - в течение семи дней."
0Y1JyoZbl3HL,https://sudact.ru/regular/doc/0Y1JyoZbl3HL/,sudact.ru,Решение № 2-115/2020 2-4853/2019 от 27 мая 2020... :: СудАкт.ру,"В пункте 5 статьи 28 Закона ""О защите прав потребителей"" установлено, что в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 статьи 28 новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена выполнения работы."
